site,year,treeid,lat,long,seeds,dbh
SampleSite,1982,1,51,-3,96,80
SampleSite,1983,1,51,-3,71,80
SampleSite,1984,1,51,-3,211,80
SampleSite,1985,1,51,-3,0,80
SampleSite,1986,1,51,-3,0,80
SampleSite,1987,1,51,-3,158,80
SampleSite,1988,1,51,-3,0,80
SampleSite,1989,1,51,-3,0,80
SampleSite,1990,1,51,-3,265,80
SampleSite,1991,1,51,-3,0,80
SampleSite,1992,1,51,-3,0,80
SampleSite,1993,1,51,-3,7,80
SampleSite,1994,1,51,-3,0,80
SampleSite,1995,1,51,-3,198,80
SampleSite,1996,1,51,-3,0,80
SampleSite,1997,1,51,-3,185,80
SampleSite,1998,1,51,-3,0,80
SampleSite,1999,1,51,-3,0,80
SampleSite,2000,1,51,-3,202,80
SampleSite,2001,1,51,-3,0,80
SampleSite,2002,1,51,-3,170,80
SampleSite,2003,1,51,-3,4,80
SampleSite,2004,1,51,-3,280,80
SampleSite,2005,1,51,-3,0,80
SampleSite,2006,1,51,-3,158,80
SampleSite,2007,1,51,-3,262,80
SampleSite,2008,1,51,-3,0,80
SampleSite,2009,1,51,-3,24,80
SampleSite,2010,1,51,-3,42,80
SampleSite,2011,1,51,-3,311,80
SampleSite,2012,1,51,-3,0,80
SampleSite,2013,1,51,-3,150,80
SampleSite,2014,1,51,-3,100,80
SampleSite,2015,1,51,-3,10,80
SampleSite,2016,1,51,-3,199,80
SampleSite,2017,1,51,-3,8,80
SampleSite,2018,1,51,-3,2,80
SampleSite,2019,1,51,-3,240,80
SampleSite,2020,1,51,-3,14,80
SampleSite,2021,1,51,-3,58,80
SampleSite,2022,1,51,-3,178,80
